timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1628042700,Aug 04 2021 - 2:05am,complete,N/A,Dorados,Morelia,N/A,2,0.00,0.00,1.89,1.52,3,1,4,2,2,0,"20,32,90","53",3,3,4,0,2,0,3,1,1,1,9,10,4,3,5,7,15,15,51,49,0.00,0.00,1.19,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.25,2.10,1.35,2.05,3.65,6.85,1.84,1.87,Estadio Banorte (Culiacán)
1628114400,Aug 04 2021 - 10:00pm,complete,N/A,Mineros de Zacatecas,Leones Negros de la Universidad de Guadalajara,N/A,2,0.00,0.00,1.50,1.44,2,1,3,1,1,0,"42,49","59",4,5,3,0,5,0,0,3,2,3,11,14,7,3,4,11,10,15,51,49,0.00,1.64,1.69,1.57,2.50,50,50,50,50,50,50,50,0,50,3.00,1.00,1.80,3.30,3.50,1.29,1.80,2.90,5.25,1.77,1.80,Estadio Carlos Vega Villalba (Zacatecas)
1628121900,Aug 05 2021 - 12:05am,complete,N/A,Venados,Tlaxcala,N/A,2,0.00,0.00,1.71,0.82,1,0,1,0,0,0,"56","",6,7,2,0,2,0,1,1,0,2,11,7,5,0,6,7,13,14,57,43,2.28,0.00,1.62,0.90,1.50,50,50,50,0,0,50,50,0,0,2.00,0.00,2.00,2.95,3.35,1.42,2.15,3.65,7.00,1.95,1.67,Estadio Olímpico Carlos Iturralde Rivero (Mérida)
1628129100,Aug 05 2021 - 2:05am,complete,N/A,Correcaminos UAT,Tepatitlán de Morelos,N/A,2,0.00,0.00,1.25,0.84,2,1,3,1,0,1,"71,78","29",3,5,3,0,1,0,0,3,0,1,11,12,5,4,6,8,14,13,55,45,0.00,0.00,1.63,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.95,2.80,2.25,1.43,2.40,4.40,8.30,2.00,1.74,Estadio Olímpico Ing. Marte R. Gómez (Ciudad Victoria)
1628208000,Aug 06 2021 - 12:00am,complete,N/A,Tapatío,Pumas Tabasco,N/A,2,0.00,0.00,1.25,1.38,1,2,3,0,0,0,"64","60,79",2,6,4,0,1,0,1,3,0,1,9,8,4,6,5,2,-1,-1,41,59,0.00,0.00,1.05,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.00,3.65,1.37,2.05,3.40,6.50,1.91,1.71,Estadio AKRON (Zapopan)
1628460000,Aug 08 2021 - 10:00pm,complete,N/A,Atlante,Raya2,Luis Daniel Chavez Leon,2,3.00,0.00,2.04,0.94,2,1,3,0,0,0,"83,88","90'5",7,0,4,0,1,0,2,2,1,0,17,7,10,3,7,4,15,7,59,41,2.41,0.00,2.54,0.98,1.50,0,50,50,0,0,50,50,0,50,8.00,1.00,1.74,3.40,3.65,1.25,1.71,2.65,4.55,1.69,1.95,Estadio Ciudad de los Deportes (Ciudad de México (D.F.))
1628632800,Aug 10 2021 - 10:00pm,complete,N/A,Morelia,Celaya,N/A,3,1.00,3.00,1.67,1.25,2,1,3,1,1,0,"44,90'2","71",6,3,3,0,2,0,1,2,0,2,22,7,7,4,15,3,14,6,49,51,1.46,1.60,2.69,1.14,3.50,100,100,100,50,0,100,100,0,50,12.00,5.00,2.00,3.00,3.20,1.40,2.10,3.55,6.75,1.95,1.69,Estadio Generalísimo José María Morelos y Pavón (Morelia)
1628640300,Aug 11 2021 - 12:05am,complete,N/A,Cancún,Correcaminos UAT,N/A,3,0.00,0.00,1.11,1.00,0,1,1,0,0,0,"","90'7",9,5,2,0,2,0,0,2,1,1,13,11,3,5,10,6,-1,-1,56,44,0.00,0.91,1.69,1.46,1.50,0,50,50,0,0,50,50,0,50,6.00,2.00,1.69,3.45,3.95,1.25,1.71,2.70,4.65,1.71,1.91,Estadio Olímpico Andrés Quintana Roo (Cancún)
1628647500,Aug 11 2021 - 2:05am,complete,N/A,Tampico Madero,Venados,Jesús Roberto Ruíz González,3,3.00,0.00,1.45,0.95,3,0,3,2,2,0,"36,40,90'4","",8,4,1,0,4,0,1,0,1,3,7,2,5,0,2,2,-1,-1,51,49,1.44,0.00,1.11,0.37,2.50,50,50,50,50,50,50,50,0,50,6.00,2.00,2.10,2.85,3.15,1.53,2.40,4.30,8.50,2.15,1.54,Estadio Tamaulipas (Tampico y Ciudad Madero)
1628719200,Aug 11 2021 - 10:00pm,complete,N/A,Tlaxcala,Zacatepec Siglo XXI,N/A,3,1.00,1.00,1.63,1.35,1,1,2,1,0,1,"56","41",-1,-1,2,0,2,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.39,0.00,0.00,0.00,1.00,50,50,0,0,0,50,50,0,0,1.00,2.00,1.87,3.00,3.65,1.34,1.95,3.15,6.00,1.83,1.74,Estadio Tlahuicole (Tlaxcala)
