timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1657065900,Jul 06 2022 - 12:05am,complete,N/A,Cancún,Raya2,N/A,2,0.00,0.00,1.29,1.39,0,1,1,0,0,0,"","87",4,8,1,0,2,0,0,1,0,2,4,4,3,2,1,2,9,12,44,56,0.00,0.00,0.82,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.35,3.15,1.40,2.40,4.20,8.75,2.05,1.68,Estadio Olímpico Andrés Quintana Roo (Cancún)
1657073100,Jul 06 2022 - 2:05am,complete,N/A,Dorados,Cimarrones de Sonora,N/A,2,0.00,0.00,1.00,1.40,1,2,3,1,1,0,"15","49,64",5,5,1,0,2,0,0,1,1,1,9,8,3,5,6,3,16,11,47,53,0.00,1.71,1.34,1.35,1.00,0,50,0,0,0,0,50,0,50,7.00,5.00,2.25,3.35,2.96,1.35,2.10,3.74,7.40,1.85,1.91,Estadio Dorados (Culiacán)
1657144800,Jul 06 2022 - 10:00pm,complete,N/A,Durango,CA La Paz,N/A,2,0.00,0.00,1.56,0.29,0,0,0,0,0,0,"","",4,5,1,0,4,0,0,1,1,3,-1,-1,-1,-1,-1,-1,11,10,51,49,0.00,0.00,0.00,0.00,1.50,0,50,50,0,0,0,50,50,50,0.00,5.00,1.86,3.20,4.46,1.25,1.95,2.94,5.90,1.76,1.95,Estadio Francisco Zarco (Durango)
1657152300,Jul 07 2022 - 12:05am,complete,N/A,Mineros de Zacatecas,Tapatío,N/A,2,3.00,0.00,1.32,1.09,3,4,7,4,1,3,"16,52,58","6,25,36,46",10,0,2,1,4,0,1,2,0,4,11,9,6,5,5,4,15,11,50,50,1.06,0.00,1.79,1.34,0.50,0,0,0,0,0,0,0,0,50,4.00,7.00,2.14,3.40,3.15,1.29,2.00,3.26,6.60,1.71,2.00,Estadio Carlos Vega Villalba (Zacatecas)
1657231200,Jul 07 2022 - 10:00pm,complete,N/A,Zacatepec Siglo XXI,Venados,N/A,2,0.00,0.00,1.53,0.95,0,0,0,0,0,0,"","",-1,-1,4,0,3,0,0,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Tecnológico de Oaxaca (Oaxaca)
1657238700,Jul 08 2022 - 12:05am,complete,N/A,Correcaminos UAT,Atlante,Mario Terrazas Chávez,2,0.00,0.00,1.41,1.39,1,2,3,2,1,1,"33","13,50",7,6,2,0,2,0,1,1,2,0,3,4,2,4,1,0,17,12,53,47,0.00,0.00,0.64,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.40,2.55,1.35,2.20,3.95,7.25,1.80,1.90,Estadio Olímpico Ing. Marte R. Gómez (Ciudad Victoria)
1657317600,Jul 08 2022 - 10:00pm,complete,N/A,Celaya,Pumas Tabasco,N/A,2,0.00,0.00,2.41,0.71,2,1,3,1,1,0,"45'1,90'5","53",5,3,1,0,3,0,0,1,1,2,9,3,6,2,3,1,9,8,50,50,0.00,0.00,1.42,0.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.82,3.55,3.95,1.35,2.06,3.67,6.95,2.01,1.72,Estadio Miguel Alemán Valdés (Celaya)
1657504800,Jul 11 2022 - 2:00am,complete,N/A,Leones Negros de la Universidad de Guadalajara,Tepatitlán de Morelos,N/A,2,1.00,0.00,1.75,1.06,3,0,3,1,1,0,"35,63,68","",5,2,3,0,4,2,2,1,2,4,9,6,5,2,4,4,-1,-1,50,50,0.00,0.00,1.39,0.79,0.00,0,0,0,0,0,0,0,0,0,0.00,1.00,1.94,3.25,3.16,1.44,2.46,4.40,8.55,2.03,1.75,Estadio Jalisco (Guadalajara)
1657663200,Jul 12 2022 - 10:00pm,complete,N/A,Tlaxcala,Dorados,N/A,3,3.00,0.00,1.53,1.06,0,2,2,1,0,1,"","36,89",5,3,5,0,2,0,1,4,1,1,17,7,7,5,10,2,-1,-1,50,50,1.46,0.86,2.17,1.18,2.00,0,100,0,0,0,0,50,50,100,2.00,6.00,2.39,2.86,2.81,1.36,2.27,3.84,7.30,1.87,1.85,Estadio Tlahuicole (Tlaxcala)
1657670700,Jul 13 2022 - 12:05am,complete,N/A,Correcaminos UAT,Durango,N/A,3,0.00,0.00,1.41,0.68,5,3,8,1,1,0,"25,46,47,54,58","53,67,84",1,8,4,0,2,0,3,1,1,1,14,15,7,7,7,8,13,10,50,50,0.64,0.90,1.81,1.92,3.50,100,100,100,50,0,100,100,50,100,18.00,5.00,1.75,3.30,4.20,1.26,1.90,3.30,6.50,1.72,2.02,Estadio Olímpico Ing. Marte R. Gómez (Ciudad Victoria)
